country_code,installed_capacity_MW,pumping_MW,,,country_code,Installed_capacity,pumping capacity
DE,14.8,Not Recorded,,,,,
SE,15,Not Recorded,,,,,
CH,14.31,Not Recorded,,,,,
ES,284,Not Recorded,,,,,
DE,14.2,Not Recorded,,,,,
CH,14.1,Not Recorded,,,,,
SE,14.4,Not Recorded,,,,,
AT,14,Not Recorded,,,,,
AT,14,Not Recorded,,,,,
SE,14.08315411,Not Recorded,,,,,
DE,14,Not Recorded,,,,,
CH,14,Not Recorded,,,,,
IT,14,Not Recorded,,,,,
IT,14,Not Recorded,,,,,
IT,14.6,Not Recorded,,,,,
IT,12.7,Not Recorded,,,,,
IT,14,Not Recorded,,,,,
IT,14,Not Recorded,,,,,
IT,14,Not Recorded,,,,,
IT,14,Not Recorded,,,,,
CH,14,Not Recorded,,,,,
IT,330,330,,,,,
AT,14,Not Recorded,,,,,
AT,14,Not Recorded,,,,,
AT,14,Not Recorded,,,,,
AT,14,Not Recorded,,,,,
AT,14,Not Recorded,,,,,
SE,14,Not Recorded,,,,,
RO,14,Not Recorded,,,,,
RO,14,Not Recorded,,,,,
CH,280,159,,,,,
RO,14,Not Recorded,,,,,
RO,14,Not Recorded,,,,,
RO,14,Not Recorded,,,,,
AL,13.92,Not Recorded,,,,,
SE,14,Not Recorded,,,,,
DE,13.6,Not Recorded,,,,,
BE,13.52147303,Not Recorded,,,,,
FR,13.32802548,Not Recorded,,,,,
HR,276,240,,,,,
BE,13.31865094,Not Recorded,,,,,
CH,13.3,Not Recorded,,,,,
PT,240,Not Recorded,,,,,
PT,231,204,,,,,
CZ,13.18343621,Not Recorded,,,,,
AT,13,Not Recorded,,,,,
AT,13,Not Recorded,,,,,
CH,13,Not Recorded,,,,,
AT,13,Not Recorded,,,,,
SE,275,Not Recorded,,,,,
IT,13,Not Recorded,,,,,
IT,13,Not Recorded,,,,,
IT,13,Not Recorded,,,,,
IT,13,Not Recorded,,,,,
IT,13,Not Recorded,,,,,
IT,13,Not Recorded,,,,,
IT,13,Not Recorded,,,,,
CH,13,Not Recorded,,,,,
AT,13,Not Recorded,,,,,
AT,13,Not Recorded,,,,,
ES,13,Not Recorded,,,,,
ES,13,Not Recorded,,,,,
ES,13,Not Recorded,,,,,
ES,13,Not Recorded,,,,,
FI,13,Not Recorded,,,,,
FI,13,Not Recorded,,,,,
DE,12.8,Not Recorded,,,,,
MK,12.8,Not Recorded,,,,,
MK,12.6,Not Recorded,,,,,
DE,12.6,Not Recorded,,,,,
DE,12.6,Not Recorded,,,,,
DE,12.6,Not Recorded,,,,,
SE,13.76,Not Recorded,,,,,
CH,12.5,Not Recorded,,,,,
PL,11,Not Recorded,,,,,
FR,270,Not Recorded,,,,,
DE,12.4,Not Recorded,,,,,
DE,12.3,Not Recorded,,,,,
DE,12.2,Not Recorded,,,,,
CH,12.2,Not Recorded,,,,,
DE,12.1,Not Recorded,,,,,
DE,12.1,Not Recorded,,,,,
ES,267,216,,,,,
AT,12,Not Recorded,,,,,
AT,12,Not Recorded,,,,,
SE,12.5,Not Recorded,,,,,
CH,12,Not Recorded,,,,,
DE,12,Not Recorded,,,,,
DE,12,Not Recorded,,,,,
SE,12,Not Recorded,,,,,
FR,285,Not Recorded,,,,,
SE,12,Not Recorded,,,,,
IT,12,Not Recorded,,,,,
IT,12,Not Recorded,,,,,
IT,12,Not Recorded,,,,,
IT,12,Not Recorded,,,,,
IT,12,Not Recorded,,,,,
IT,12.3,Not Recorded,,,,,
CH,12,Not Recorded,,,,,
AT,12,Not Recorded,,,,,
AT,12,Not Recorded,,,,,
CZ,12,Not Recorded,,,,,
RO,12,Not Recorded,,,,,
CH,11.94,Not Recorded,,,,,
DE,11.9,Not Recorded,,,,,
FR,11.84713376,Not Recorded,,,,,
FR,11.84713376,Not Recorded,,,,,
AL,11.82,Not Recorded,,,,,
CH,306,Not Recorded,,,,,
AT,11.6,Not Recorded,,,,,
CH,11.5,Not Recorded,,,,,
CH,11.33,Not Recorded,,,,,
CH,11.33,Not Recorded,,,,,
DE,11.3,Not Recorded,,,,,
CH,11.3,Not Recorded,,,,,
SE,12,Not Recorded,,,,,
IT,978,1120,,,,,
CH,215.6,Not Recorded,,,,,
DE,11.2,Not Recorded,,,,,
AT,11,Not Recorded,,,,,
DE,11,Not Recorded,,,,,
FR,11,Not Recorded,,,,,
IT,11,Not Recorded,,,,,
IT,11,Not Recorded,,,,,
AL,250,Not Recorded,,,,,
IT,11,Not Recorded,,,,,
CH,11,Not Recorded,,,,,
AT,11,Not Recorded,,,,,
EL,315,315,,,,,
CZ,11,Not Recorded,,,,,
UK,11,Not Recorded,,,,,
ES,48.7,Not Recorded,,,,,
FI,11,Not Recorded,,,,,
RO,11,Not Recorded,,,,,
RO,11,Not Recorded,,,,,
CH,10.99,Not Recorded,,,,,
DE,10.9,Not Recorded,,,,,
CH,10.86,Not Recorded,,,,,
CH,10.7,Not Recorded,,,,,
CH,10.61,Not Recorded,,,,,
DE,10.5,Not Recorded,,,,,
CH,10.4,Not Recorded,,,,,
DE,10.3,Not Recorded,,,,,
EL,210,Not Recorded,,,,,
BG,10.24,Not Recorded,,,,,
DE,10.1,Not Recorded,,,,,
DE,10.1,Not Recorded,,,,,
AT,10,Not Recorded,,,,,
AT,254,Not Recorded,,,,,
AT,10,Not Recorded,,,,,
SE,11.2,Not Recorded,,,,,
DE,10,Not Recorded,,,,,
CH,10,Not Recorded,,,,,
SE,10,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
SE,274,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
IT,10,Not Recorded,,,,,
ES,247,168,,,,,
AT,10,Not Recorded,,,,,
AT,10,Not Recorded,,,,,
AT,10,Not Recorded,,,,,
AT,10,Not Recorded,,,,,
AT,10,Not Recorded,,,,,
BE,10,Not Recorded,,,,,
UK,10,Not Recorded,,,,,
ES,10,Not Recorded,,,,,
AT,15,12,,,,,
RO,10,Not Recorded,,,,,
RO,10,Not Recorded,,,,,
DE,9.9,Not Recorded,,,,,
AT,9.8,Not Recorded,,,,,
DE,9.7,Not Recorded,,,,,
CH,9.7,Not Recorded,,,,,
FR,9.675159236,Not Recorded,,,,,
CH,9.67,Not Recorded,,,,,
CH,9.6,Not Recorded,,,,,
AT,245,Not Recorded,,,,,
MK,9.6,Not Recorded,,,,,
CZ,9.6,Not Recorded,,,,,
CH,9.5,Not Recorded,,,,,
CH,9.4,Not Recorded,,,,,
CZ,9.383902285,Not Recorded,,,,,
CH,9.3,Not Recorded,,,,,
AL,13.8,Not Recorded,,,,,
CH,9.15,Not Recorded,,,,,
